present_only_in,event_idx,contingency,row_count,gpu_converged,gpu_status_code,cpu_converged,cpu_status_code
gpu,351,BR_11239_11241_1,2121,True,OK,True,OK
gpu,352,BR_11242_11243_1,2121,True,OK,True,OK
gpu,353,BR_33054_11242_1,2121,True,OK,True,OK
gpu,354,BR_33486_11242_1,2121,True,OK,True,OK
gpu,355,BR_33486_11242_2,2121,True,OK,True,OK
gpu,356,BR_11244_11245_1,2121,True,OK,True,OK
gpu,357,BR_11244_11264_1,2121,True,OK,True,OK
gpu,358,BR_11244_11268_1,2121,True,OK,True,OK
gpu,359,BR_11246_11247_1,2121,True,OK,True,OK
gpu,360,BR_11289_11246_1,2121,True,OK,True,OK
gpu,361,BR_33091_11246_1,2121,True,OK,True,OK
gpu,362,BR_11248_11250_1,2121,True,OK,True,OK
gpu,363,BR_11265_11248_1,2121,True,OK,True,OK
gpu,364,BR_11248_11273_1,2121,True,OK,True,OK
gpu,365,BR_25517_11248_1,2121,True,OK,True,OK
gpu,366,BR_11417_11249_1,2121,True,OK,True,OK
gpu,367,BR_11251_11252_1,2121,True,OK,True,OK
gpu,368,BR_11251_25488_1,2121,True,OK,True,OK
gpu,369,BR_25515_11251_1,2121,True,OK,True,OK
gpu,370,BR_25515_11251_2,2121,True,OK,True,OK
gpu,371,BR_11253_11255_1,2121,True,OK,True,OK
gpu,372,BR_11253_11435_1,2121,True,OK,True,OK
gpu,373,BR_11253_25516_1,2121,True,OK,True,OK
gpu,374,BR_11253_33096_1,2121,True,OK,True,OK
gpu,375,BR_11254_11430_1,2121,True,OK,True,OK
gpu,376,BR_25479_11254_1,2121,True,OK,True,OK
gpu,377,BR_11254_25515_1,2121,True,OK,True,OK
gpu,378,BR_25545_11254_1,2121,True,OK,True,OK
gpu,379,BR_11254_25547_1,2121,True,OK,True,OK
gpu,380,BR_11256_11258_1,2121,True,OK,True,OK
gpu,381,BR_11256_11259_1,2121,True,OK,True,OK
gpu,382,BR_11261_11257_1,2121,True,OK,True,OK
gpu,383,BR_25547_11257_1,2121,True,OK,True,OK
gpu,384,BR_25547_11257_2,2121,True,OK,True,OK
gpu,385,BR_25547_11257_3,2121,True,OK,True,OK
gpu,386,BR_11260_11259_1,2121,True,OK,True,OK
gpu,387,BR_11259_11435_1,2121,True,OK,True,OK
gpu,388,BR_11260_11262_1,2121,True,OK,True,OK
gpu,389,BR_11260_11282_1,2121,True,OK,True,OK
gpu,390,BR_11260_11289_1,2121,True,OK,True,OK
gpu,391,BR_33491_11260_1,2121,True,OK,True,OK
gpu,392,BR_33491_11260_2,2121,True,OK,True,OK
gpu,393,BR_33491_11260_3,2121,True,OK,True,OK
gpu,394,BR_11263_11264_1,2121,True,OK,True,OK
gpu,395,BR_11264_19258_1,2121,True,OK,True,OK
gpu,396,BR_11265_11266_1,2121,True,OK,True,OK
gpu,397,BR_11282_11265_1,2121,True,OK,True,OK
gpu,398,BR_11265_11435_1,2121,True,OK,True,OK
gpu,399,BR_11265_25517_1,2121,True,OK,True,OK
gpu,400,BR_11267_11269_1,2121,True,OK,True,OK
gpu,401,BR_11267_11270_1,2121,True,OK,True,OK
gpu,402,BR_11268_25457_1,2121,True,OK,True,OK
gpu,403,BR_19166_11270_1,2121,True,OK,True,OK
gpu,404,BR_11270_25456_1,2121,True,OK,True,OK
gpu,405,BR_25460_11270_1,2121,True,OK,True,OK
gpu,406,BR_11283_11271_1,2121,True,OK,True,OK
gpu,407,BR_33091_11271_1,2121,True,OK,True,OK
gpu,408,BR_11272_11276_1,2121,True,OK,True,OK
gpu,409,BR_11272_11277_1,2121,True,OK,True,OK
gpu,410,BR_11272_11278_1,2121,True,OK,True,OK
gpu,411,BR_11283_11273_1,2121,True,OK,True,OK
gpu,414,BR_11279_11281_1,2121,True,OK,True,OK
gpu,415,BR_11279_11282_1,2121,True,OK,True,OK
gpu,416,BR_11280_11342_1,2121,True,OK,True,OK
gpu,417,BR_11430_11280_1,2121,True,OK,True,OK
gpu,418,BR_25428_11280_1,2121,True,OK,True,OK
gpu,419,BR_11435_11282_1,2121,True,OK,True,OK
gpu,420,BR_11283_11284_1,2121,True,OK,True,OK
gpu,421,BR_11298_11285_1,2121,True,OK,True,OK
gpu,422,BR_11285_11417_1,2121,True,OK,True,OK
gpu,423,BR_11286_11288_1,2121,True,OK,True,OK
gpu,425,BR_11287_11298_1,2121,True,OK,True,OK
gpu,426,BR_11290_11291_1,2121,True,OK,True,OK
gpu,429,BR_11293_11296_1,2121,True,OK,True,OK
gpu,430,BR_33230_11295_1,2121,True,OK,True,OK
gpu,431,BR_33230_11295_2,2121,True,OK,True,OK
gpu,432,BR_11297_11298_1,2121,True,OK,True,OK
gpu,433,BR_11299_11300_1,2121,True,OK,True,OK
gpu,434,BR_11300_11358_1,2121,True,OK,True,OK
gpu,436,BR_11301_11306_1,2121,True,OK,True,OK
gpu,437,BR_11301_11307_1,2121,True,OK,True,OK
gpu,438,BR_11305_11323_1,2121,True,OK,True,OK
gpu,440,BR_11312_11323_1,2121,True,OK,True,OK
gpu,441,BR_11313_11317_1,2121,True,OK,True,OK
gpu,442,BR_11313_11318_1,2121,True,OK,True,OK
gpu,443,BR_11314_11388_1,2121,True,OK,True,OK
gpu,444,BR_11317_11395_1,2121,True,OK,True,OK
gpu,448,BR_11331_11398_1,2121,True,OK,True,OK
gpu,449,BR_11331_11398_2,2121,True,OK,True,OK
gpu,450,BR_11331_11398_3,2121,True,OK,True,OK
gpu,451,BR_11331_11420_1,2121,True,OK,True,OK
gpu,452,BR_11332_11337_1,2121,True,OK,True,OK
gpu,453,BR_33068_11332_1,2121,True,OK,True,OK
